# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
0.653174 0.628664 0.000295 0.919950 0.000447 0.787313 0.004281 -3.962320 0.004224 -8.390230
0.668388 1.194474 0.000675 0.536243 0.000577 0.569160 0.001082 -0.970634 -0.006778 7.917410
0.683957 0.825328 0.000636 -0.410330 -0.000702 0.486441 0.001797 0.814284 -0.006186 5.836050
0.699888 1.231344 0.000797 0.133406 0.000011 -0.015840 0.001777 -1.843430 -0.015955 11.449300
0.716191 1.149445 0.000880 -0.192705 -0.001020 1.763272 0.003529 2.872250 0.001771 1.500850
0.732873 1.313641 0.000928 0.586014 -0.000043 1.044012 0.004353 -0.285641 0.002056 -0.402472
0.749944 1.207412 0.000787 0.576315 0.000865 -0.476441 -0.001040 -3.845380 -0.001935 -2.915950
0.767412 1.717745 0.001083 0.740538 0.002281 -3.446830 -0.019003 8.160940 0.000944 10.477500
0.785288 0.886704 0.000774 -0.423161 0.000039 -0.425370 -0.001264 -1.256970 -0.000534 -2.818560
0.803579 0.957922 0.000948 -0.244977 0.000171 -1.149568 -0.005532 0.683303 0.005362 -1.242300
0.822297 0.995941 0.000766 0.255374 0.001225 -1.238762 -0.004482 -1.779840 -0.007985 3.189430
0.841451 0.785831 0.000750 -0.155697 0.000245 -0.526363 -0.000560 -1.883730 -0.004464 -0.729868
0.861051 0.956432 0.000716 0.422863 0.000888 -0.923579 -0.003728 -0.719400 -0.005822 3.390920
0.881107 1.194007 0.001129 -0.261930 -0.000541 -0.009968 0.003776 -3.463390 -0.000004 -3.325340
0.901631 1.171861 0.001110 -0.040240 0.000159 -0.051783 -0.007704 3.823760 0.010554 1.321490
0.922633 1.082926 0.001074 0.274469 0.000021 0.223601 0.003397 -1.307560 -0.001382 -0.211954
0.944123 0.776572 0.000759 0.010933 0.000239 -0.566078 -0.001431 -1.388600 0.005909 -5.037990
0.966115 1.137497 0.001203 -0.220550 0.000520 -1.438709 -0.009459 1.951190 0.002156 1.273460
0.988619 1.252967 0.001371 -0.638148 -0.001245 0.905982 0.000867 2.900520 0.003480 2.148560
1.011650 1.257835 0.001236 -0.307204 -0.000783 0.648508 0.004662 -0.717697 -0.004434 1.924120
1.035210 0.901618 0.001060 -0.196136 -0.000746 0.606401 0.004753 -1.503100 0.000568 -2.919470
1.059320 1.136055 0.001288 -0.209488 0.000390 -0.823269 -0.010089 4.119330 0.000689 5.479990
1.084000 1.054895 0.001246 -0.231795 -0.000415 -0.261979 -0.007742 5.929790 0.012637 0.554008
1.109250 1.050558 0.001211 -0.252331 -0.000099 -0.119878 0.000517 -0.858873 0.000662 -2.702540
1.135090 1.279553 0.001384 0.369948 0.000737 -0.058362 0.000497 -0.628290 -0.008345 1.556520
1.161530 0.789144 0.001019 -0.276213 -0.000647 0.731217 0.004549 -0.973359 -0.007277 1.790600
1.188580 1.081284 0.001326 -0.038236 -0.000287 0.228399 0.003112 -1.383950 -0.005021 0.792579
1.216270 1.264897 0.001432 0.601420 0.000423 0.461450 0.003137 0.007765 -0.005257 2.216540
1.244600 1.115536 0.001430 0.233693 0.000521 -0.162733 0.000266 -0.909604 -0.001539 -1.737450
1.273590 0.905598 0.001079 0.194016 0.000093 0.117757 0.001946 -0.145563 0.000212 -0.915435
1.303250 1.118891 0.001509 0.000186 0.000098 -0.305230 -0.001911 0.287320 -0.001207 0.922245
1.333610 1.020257 0.001304 0.305930 0.000886 -0.430752 -0.006552 1.698570 0.010332 -2.498250
1.364670 1.110754 0.001765 -0.717004 -0.001713 0.437998 0.002591 0.320417 0.003843 -1.013810
1.396460 1.137217 0.001751 -0.357572 -0.000297 -0.246804 -0.003503 0.380619 0.002307 -0.893858
1.428990 0.925730 0.001204 0.500083 0.000913 -0.198456 -0.003821 0.994718 0.002918 0.610639
1.462270 1.127822 0.001767 -0.257791 0.000184 -0.600934 -0.005253 -0.160931 -0.001449 0.505329
1.496330 1.028523 0.001569 0.029544 0.000461 -0.247503 -0.005435 1.561870 0.003050 0.082902
1.531190 1.025890 0.001632 -0.146639 -0.000573 0.246991 0.001232 0.651502 0.009328 -3.256190
1.566850 0.949173 0.001484 0.002879 -0.000063 0.230629 0.002016 -0.722369 -0.003323 0.518656
1.603350 0.900893 0.001489 -0.180723 0.000159 -0.396461 -0.003380 0.172862 -0.004606 1.031430
1.640700 0.897801 0.001539 -0.141612 -0.000088 -0.227468 -0.002340 0.019742 0.004172 -1.496000
1.678920 0.945915 0.001675 -0.173474 -0.000112 -0.232381 -0.000596 -0.226622 -0.003878 0.736672
1.718020 1.053810 0.001797 0.111952 0.000077 0.146838 -0.001278 1.526340 0.011143 -2.031600
1.758040 1.109251 0.001960 0.077866 0.000013 0.202579 0.001099 0.518636 0.002241 0.200993
1.798990 1.183847 0.002229 -0.323893 -0.000707 0.008051 -0.001814 1.003490 0.004239 0.206169
1.840890 0.949745 0.001683 0.237883 0.000227 0.053287 0.000216 0.331356 0.003727 -0.161301
1.883770 1.162851 0.002103 0.199671 0.000423 -0.130101 -0.004045 1.703040 0.012471 -1.520130
1.927650 0.908219 0.001695 0.129194 0.000448 -0.022109 -0.002031 0.384191 -0.004044 1.793450
1.972550 0.968510 0.001878 0.075235 0.000223 -0.064848 -0.002167 0.559062 0.004531 -0.872791
2.018500 1.128262 0.002333 -0.233618 -0.000666 0.083473 0.001177 0.002807 0.002053 -0.449623
2.065520 1.107078 0.002505 -0.310251 -0.000956 0.222241 0.003996 -1.330990 -0.007613 0.401923
2.113630 0.994137 0.002231 -0.204072 -0.000300 -0.218450 -0.003404 0.343488 0.002198 -0.037256
2.162860 1.139344 0.002400 0.209530 0.000286 0.225209 0.000358 0.426507 -0.005057 1.812470
2.213240 0.914080 0.002098 0.032255 -0.000116 0.105505 -0.000323 0.383361 0.004866 -0.551673
2.264790 1.025868 0.002349 -0.084434 -0.000157 0.036433 0.000145 -0.018849 -0.005003 1.272570
2.317550 1.039274 0.002377 0.031616 0.000136 0.078792 -0.000936 0.500518 0.004230 -0.506462
2.371530 1.017792 0.002416 0.032497 0.000155 0.020685 -0.003139 0.868305 0.002010 0.623351
2.426770 0.991663 0.002387 0.094842 -0.000054 0.194182 0.000823 0.526787 0.005958 -0.652138
2.483300 0.971617 0.002405 -0.037396 -0.000226 0.057148 0.000537 0.288144 -0.000223 0.759998
2.541140 0.956524 0.002503 -0.016580 0.000165 -0.102463 0.000054 -0.806804 -0.002327 -0.413155
2.600330 0.995837 0.002649 0.019957 -0.000037 0.010946 0.001865 -0.690489 -0.004169 0.013349
2.660900 0.997552 0.002651 0.076935 0.000020 0.109624 0.000397 -0.084832 0.003591 -0.531728
2.722880 0.977105 0.002748 -0.113878 -0.000771 0.187963 0.003108 0.023173 -0.003570 1.045040
2.786310 1.049031 0.002903 0.139399 0.000350 0.051116 0.002804 -0.700756 -0.000732 -0.699089
2.851210 0.955584 0.002741 0.066628 -0.000005 0.093126 0.003395 -0.590876 -0.004828 0.054607
2.917620 0.960593 0.002968 -0.261541 -0.000721 -0.045760 0.001065 -0.572969 -0.003350 0.033683
2.985580 1.041545 0.003122 0.076027 0.000432 -0.101391 -0.004024 0.604604 0.008562 -0.870573
