# s W_0 W_1 W_2 W_3 W_4
0.334965 0.999986 0.000253 -0.000004 -0.000000 0.000000
0.338844 0.999986 0.000256 -0.000004 -0.000000 0.000000
0.342768 0.999986 0.000259 -0.000004 -0.000000 0.000000
0.346737 0.999986 0.000262 -0.000004 -0.000000 0.000000
0.350752 0.999986 0.000265 -0.000004 -0.000000 0.000000
0.354813 0.999986 0.000268 -0.000005 -0.000000 0.000000
0.358922 0.999986 0.000272 -0.000005 -0.000000 0.000000
0.363078 0.999986 0.000275 -0.000005 -0.000000 0.000000
0.367282 0.999986 0.000278 -0.000005 -0.000000 0.000000
0.371535 0.999986 0.000281 -0.000005 -0.000000 0.000000
0.375837 0.999986 0.000284 -0.000005 -0.000000 0.000000
0.380189 0.999986 0.000288 -0.000005 -0.000000 0.000000
0.384592 0.999982 0.000291 -0.000005 -0.000000 0.000000
0.389045 0.999982 0.000294 -0.000005 -0.000000 0.000000
0.393550 0.999982 0.000298 -0.000006 -0.000000 0.000000
0.398107 0.999982 0.000301 -0.000006 -0.000000 0.000000
0.402717 0.999982 0.000305 -0.000006 -0.000000 0.000000
0.407380 0.999982 0.000308 -0.000006 -0.000000 0.000000
0.412098 0.999982 0.000312 -0.000006 -0.000000 0.000000
0.416869 0.999982 0.000315 -0.000006 -0.000000 0.000000
0.421697 0.999982 0.000319 -0.000006 -0.000000 0.000000
0.426580 0.999982 0.000323 -0.000007 -0.000000 0.000000
0.431519 0.999977 0.000326 -0.000007 -0.000000 0.000000
0.436516 0.999977 0.000330 -0.000007 -0.000000 0.000000
0.441570 0.999977 0.000334 -0.000007 -0.000000 0.000000
0.446684 0.999977 0.000338 -0.000007 -0.000000 0.000000
0.451856 0.999977 0.000342 -0.000007 -0.000000 0.000000
0.457088 0.999977 0.000346 -0.000007 -0.000000 0.000000
0.462381 0.999977 0.000350 -0.000008 -0.000000 0.000000
0.467735 0.999977 0.000354 -0.000008 -0.000000 0.000000
0.473151 0.999973 0.000358 -0.000008 -0.000000 0.000000
0.478630 0.999973 0.000362 -0.000008 -0.000000 0.000000
0.484172 0.999973 0.000366 -0.000008 -0.000000 0.000000
0.489779 0.999973 0.000371 -0.000009 -0.000000 0.000000
0.495450 0.999973 0.000375 -0.000009 -0.000000 0.000000
0.501187 0.999973 0.000379 -0.000009 -0.000000 0.000000
0.506991 0.999973 0.000384 -0.000009 -0.000000 0.000000
0.512861 0.999968 0.000388 -0.000009 -0.000000 0.000000
0.518800 0.999968 0.000392 -0.000010 -0.000000 0.000000
0.524807 0.999968 0.000397 -0.000010 -0.000000 0.000000
0.530884 0.999968 0.000402 -0.000010 -0.000000 0.000000
0.537032 0.999968 0.000406 -0.000010 -0.000000 0.000000
