# s W_0 W_1 W_2 W_3 W_4
2.884030 0.998724 0.002160 -0.000061 -0.000000 0.000004
2.917430 0.998694 0.002185 -0.000062 -0.000000 0.000004
2.951210 0.998663 0.002210 -0.000064 -0.000000 0.000004
2.985380 0.998632 0.002236 -0.000065 -0.000000 0.000004
3.019950 0.998602 0.002262 -0.000067 -0.000000 0.000004
3.054920 0.998568 0.002288 -0.000068 -0.000000 0.000005
3.090300 0.998536 0.002314 -0.000070 -0.000000 0.000005
3.126080 0.998502 0.002341 -0.000071 -0.000000 0.000005
3.162280 0.998467 0.002368 -0.000073 -0.000000 0.000005
3.198900 0.998432 0.002395 -0.000075 -0.000000 0.000006
3.235940 0.998396 0.002423 -0.000077 -0.000000 0.000006
3.273410 0.998359 0.002451 -0.000078 -0.000000 0.000006
3.311310 0.998321 0.002479 -0.000080 -0.000000 0.000006
3.349650 0.998283 0.002508 -0.000082 -0.000000 0.000007
3.388440 0.998243 0.002537 -0.000084 -0.000000 0.000007
3.427680 0.998202 0.002566 -0.000086 -0.000000 0.000007
3.467370 0.998161 0.002596 -0.000088 -0.000001 0.000008
3.507520 0.998119 0.002626 -0.000090 -0.000001 0.000008
3.548130 0.998076 0.002656 -0.000092 -0.000001 0.000008
3.589220 0.998031 0.002687 -0.000095 -0.000001 0.000009
3.630780 0.997986 0.002718 -0.000097 -0.000001 0.000009
3.672820 0.997939 0.002749 -0.000099 -0.000001 0.000010
3.715350 0.997892 0.002781 -0.000101 -0.000001 0.000010
3.758370 0.997843 0.002813 -0.000104 -0.000001 0.000011
3.801890 0.997793 0.002846 -0.000106 -0.000001 0.000011
3.845920 0.997743 0.002878 -0.000109 -0.000001 0.000012
3.890450 0.997691 0.002912 -0.000111 -0.000001 0.000012
3.935500 0.997638 0.002945 -0.000114 -0.000001 0.000013
3.981070 0.997584 0.002979 -0.000117 -0.000001 0.000013
4.027170 0.997529 0.003014 -0.000120 -0.000001 0.000014
4.073800 0.997472 0.003048 -0.000122 -0.000001 0.000015
4.120980 0.997414 0.003084 -0.000125 -0.000001 0.000015
4.168690 0.997354 0.003119 -0.000128 -0.000001 0.000016
4.216970 0.997293 0.003155 -0.000131 -0.000001 0.000017
4.265800 0.997232 0.003191 -0.000134 -0.000001 0.000017
4.315190 0.997168 0.003228 -0.000138 -0.000001 0.000018
4.365160 0.997104 0.003266 -0.000141 -0.000001 0.000019
4.415700 0.997037 0.003303 -0.000144 -0.000001 0.000020
4.466840 0.996969 0.003341 -0.000148 -0.000001 0.000021
4.518560 0.996900 0.003380 -0.000151 -0.000001 0.000022
4.570880 0.996829 0.003419 -0.000155 -0.000001 0.000023
4.623810 0.996757 0.003458 -0.000159 -0.000001 0.000024
4.677350 0.996683 0.003498 -0.000162 -0.000001 0.000025
4.731510 0.996607 0.003538 -0.000166 -0.000001 0.000026
4.786300 0.996529 0.003579 -0.000170 -0.000001 0.000028
4.841720 0.996451 0.003620 -0.000174 -0.000001 0.000029
4.897790 0.996369 0.003662 -0.000178 -0.000001 0.000030
4.954500 0.996287 0.003704 -0.000183 -0.000002 0.000032
5.011870 0.996203 0.003747 -0.000187 -0.000002 0.000033
5.069910 0.996117 0.003790 -0.000192 -0.000002 0.000035
5.128610 0.996028 0.003834 -0.000196 -0.000002 0.000036
5.188000 0.995938 0.003878 -0.000201 -0.000002 0.000038
5.248070 0.995846 0.003922 -0.000206 -0.000002 0.000040
5.308840 0.995751 0.003968 -0.000211 -0.000002 0.000041
5.370320 0.995655 0.004013 -0.000216 -0.000002 0.000043
5.432500 0.995556 0.004059 -0.000221 -0.000002 0.000045
5.495410 0.995456 0.004106 -0.000226 -0.000002 0.000048
5.559040 0.995353 0.004153 -0.000232 -0.000002 0.000050
5.623410 0.995248 0.004201 -0.000237 -0.000002 0.000052
5.688530 0.995141 0.004249 -0.000243 -0.000002 0.000054
5.754400 0.995031 0.004298 -0.000249 -0.000002 0.000057
5.821030 0.994919 0.004348 -0.000255 -0.000002 0.000060
5.888440 0.994805 0.004398 -0.000261 -0.000003 0.000062
5.956620 0.994688 0.004448 -0.000267 -0.000003 0.000065
6.025600 0.994567 0.004499 -0.000274 -0.000003 0.000068
6.095370 0.994445 0.004551 -0.000280 -0.000003 0.000071
6.165950 0.994320 0.004603 -0.000287 -0.000003 0.000075
6.237350 0.994192 0.004656 -0.000294 -0.000003 0.000078
