### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 5000 Ly = 5000 Lz = 5000
nx = 600 ny = 600 nz = 600
xoffset = -982.047 yoffset = -47.9468 zoffset = 798.097
bins = 300 dk = 0.001
kx_ny = 0.376991 ky_ny = 0.376991 kz_ny = 0.376991
############################
A(data) = 8.9751 (not used)
A(ran) = 8.9771 (used)
Ngal = 435761
weighted Ngal = 467524
Nran = 22769125
weighted Nran = 2.27691e+07
SN(data) = 6136.32
SN(ran) = 126.024
SN(data+ran) = 6262.34
0.0875 0.0874952 19799.8 327.986 6253.83 -248.625 3032.76 1861.07 23809
0.0885 0.0884917 19280.8 185.174 5810.97 185.474 3475.54 1808.94 25110
0.0895 0.0895049 19547 -177.048 5793.79 791.017 2295.27 1791.42 25651
0.0905 0.0905061 19080.9 610.592 5320.79 -428.614 1774.46 1785.52 25737
0.0915 0.091502 18684.1 465.576 5857.3 -958.33 1796.25 1756.3 26527
0.0925 0.0925065 18063.4 393.174 6713.51 -282.046 1644.98 1727.97 27285
0.0935 0.093509 17786.2 147.658 6234.95 97.3203 747.848 1713.68 27688
0.0945 0.094506 17990.1 -338.483 6099.01 1128.1 441.275 1704.08 28041
0.0955 0.095502 17960.7 306.333 5505.93 371.463 262.282 1679.87 28849
0.0965 0.096505 17595.1 151.625 5033.92 274.166 1220.17 1652.43 29739
0.0975 0.0974984 17662.1 -35.7098 4760.47 238.532 750.943 1659.66 29494
0.0985 0.0984988 17272.8 476.731 4600.62 -218.977 598.939 1607.97 31335
0.0995 0.0995045 16881.4 373.837 4597.78 -243.599 1590.84 1611.17 31125
0.1005 0.100504 16538 253.813 4733.92 499.368 1425.24 1585.91 32047
0.1015 0.101504 16186.6 272.285 4802.02 374.312 962.596 1570.14 32613
0.1025 0.1025 15836.2 350.066 5084.52 285.449 1988.51 1557.18 33076
0.1035 0.1035 15669.8 67.3808 4844.29 440.043 1804.97 1534.32 34029
0.1045 0.104501 15512.2 212.291 4872.55 -7.9062 1446.29 1521.88 34549
0.1055 0.105505 15187.9 366.734 4732.26 -362.688 1483.71 1498.39 35559
0.1065 0.10651 14814.7 338.453 4774.2 -320.923 1758.03 1488.19 35953
0.1075 0.107507 14568.3 -32.6189 4698.46 393.793 1592.81 1476.36 36468
0.1085 0.108504 14629.6 50.4024 4447.27 184.011 944.641 1464.66 37069
0.1095 0.109509 14607.1 46.9919 4113.54 137.291 588.989 1435.97 38559
0.1105 0.110512 14402.1 427.729 4103.82 -276.68 624.856 1440.42 38265
0.1115 0.111503 14099.3 53.1585 4248.47 80.5576 483.348 1423.27 39109
0.1125 0.112503 14025 105.565 4219.47 262.684 -124.154 1400.73 40356
0.1135 0.113504 14061.1 16.1654 3863.09 540.461 -735.907 1396.54 40609
0.1145 0.114507 13974.9 179.388 4117 -13.0862 -918.336 1374.72 41883
0.1155 0.115504 13669 410.723 4426.72 -678.398 -1042.41 1377.01 41653
0.1165 0.116496 13362.7 297.632 4569.73 -604.97 -564.493 1355.89 42867
0.1175 0.117493 13253.2 -111.524 4221.31 534.2 -145.813 1343.27 43642
0.1185 0.118496 13528.9 -266.33 3924.2 751.182 -804.854 1329.08 44667
0.1195 0.119501 13665.8 125.147 3668.38 161.877 -206.878 1318.64 45421
0.1205 0.120503 13444.6 294.255 3564.32 1.90629 215.074 1309.21 46005
0.1215 0.121501 13396.4 -35.2833 3647.48 138.511 208.8 1301.74 46519
0.1225 0.122498 13408.4 166.453 3923.74 -83.8129 -326.704 1286.95 47598
0.1235 0.123498 13237.2 246.05 4097.02 -481.779 -433.688 1279.61 48087
0.1245 0.124503 13025 314.232 4446.24 -556.688 -223.725 1257.21 49741
0.1255 0.125508 12848.6 3.07566 4323.32 295.847 114.29 1256.69 49719
0.1265 0.126499 12986.6 -151.242 4111.02 730.423 -42.6114 1254.77 49921
0.1275 0.127495 13097.7 134.326 3752.77 260.936 2.8383 1231.45 51870
0.1285 0.128504 12719.6 421.406 3598.18 -204.108 348.742 1219.8 52723
0.1295 0.129509 12316.6 294.465 3755.54 -212.772 359.387 1212.38 53217
0.1305 0.130507 12126.8 79.603 3833.86 53.5013 190.206 1206.97 53623
0.1315 0.131501 11992.6 151.301 3674.8 102.307 -114.893 1197.55 54417
0.1325 0.132497 11938.5 12.0749 3268.59 259.485 -252.012 1184.51 55600
0.1335 0.133502 11877.5 102.766 3033.59 284.99 -328.907 1171.5 56817
0.1345 0.134505 11802.9 145.241 2945.14 93.4449 -427.246 1166.78 57247
0.1355 0.135494 11501.9 281.01 3022.85 -281.134 -285.402 1168.82 56925
0.1365 0.13649 11326.6 146.612 3102.16 -56.8084 -490.186 1139.72 59793
0.1375 0.1375 11226.3 79.4415 3007.72 423.265 -335.191 1135.49 60196
0.1385 0.138504 11108.3 146.305 2934.94 210.496 -461.699 1128.91 60849
0.1395 0.139505 10851.2 286.773 2897.36 -458.926 0.65915 1121.16 61579
0.1405 0.140502 10622.8 206.786 3170.65 -100.59 352.257 1113.62 62313
0.1415 0.141497 10535.1 51.3579 3054.42 288.447 487.107 1107.33 62983
0.1425 0.142499 10555.1 -35.8454 2723.02 366.774 322.385 1091.02 64890
0.1435 0.143507 10552.9 105.648 2650.03 211.067 485.539 1085.55 65545
0.1445 0.144507 10461 112.609 2559.76 81.2845 575.835 1082.4 65883
0.1455 0.145505 10359.4 151.817 2458.23 100.765 661.133 1073.45 66937
0.1465 0.1465 10296.8 35.3259 2464.51 12.8774 296.752 1068.44 67536
0.1475 0.147503 10128.1 283.111 2560.35 -497.877 193.159 1051.59 69633
0.1485 0.148507 9895.78 203.925 2609.67 -216.592 441.506 1050.54 69655
0.1495 0.149502 9918.48 -101.979 2463.3 329.231 297.341 1046.12 70257
0.1505 0.1505 9968.29 44.056 2149.79 447.271 280.826 1034.29 71899
0.1515 0.151504 9903 80.8867 1912.48 213.348 582.046 1025.36 73122
0.1525 0.152501 9893.03 49.7516 1978.46 -34.578 492.67 1028.15 72721
0.1535 0.1535 9790.91 271.245 2068.16 -136.768 411.681 1010.16 75279
0.1545 0.154507 9556.91 109.545 2203.35 -296.678 258.249 1003.89 76093
0.1555 0.155505 9484.24 180.369 2524.58 -119.553 159.356 1005.92 75747
0.1565 0.156502 9291.66 232.997 2469.34 228.884 210.61 990.758 77974
0.1575 0.157498 9193.67 51.6362 2496.45 0.69913 79.3678 994.13 77391
0.1585 0.158494 9098.32 224.997 2555.43 -91.9381 110.66 977.564 79981
0.1595 0.159502 8873.33 135.595 2508.35 54.4411 231.716 968.045 81429
0.1605 0.160503 8759.24 25.4002 2392.66 174.056 381.691 970.618 80931
0.1615 0.161504 8808.46 76.2096 2235.05 230.455 233.032 956.256 83410
0.1625 0.162506 8711.22 59.6726 2031.82 223.739 477.666 957.821 83079
0.1635 0.163503 8771.62 43.7718 1846.86 268.381 725.695 949.24 84625
0.1645 0.164504 8724.88 29.5071 1617.21 205.602 758.819 942.146 85875
0.1655 0.165507 8674.94 136.943 1601.99 -31.9254 823.31 935.409 87085
0.1665 0.166502 8579.71 151.286 1749.1 2.96771 773.608 937.679 86604
0.1675 0.167497 8443.55 178.348 1855.94 -148.642 631.962 924.551 88993
0.1685 0.168503 8340.53 125.881 2017.27 -100.254 733.795 914.475 90897
0.1695 0.169507 8315.38 48.9565 1999.31 -34.8648 737.835 915.611 90655
0.1705 0.170504 8368.83 -19.8481 2041.73 33.2103 429.256 909.837 91845
0.1715 0.171503 8323.74 175.274 2096.63 -310.411 187.038 902.373 93340
0.1725 0.172501 8179.7 269.142 2285.81 -532.009 197.439 900.836 93561
0.1735 0.173502 7994.4 106.663 2366.51 -23.6846 239.282 888.652 96015
0.1745 0.174499 8016.28 -2.43387 2412.28 248.598 13.5429 893.377 95017
