# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
0.749944 0.834455 0.000727 -0.387734 -0.000234 -0.484761 -0.007517 4.630560 0.018620 -7.053980
0.767412 1.387252 0.001131 -0.044968 0.000509 -0.926957 -0.003132 -8.410060 -0.020032 -0.774618
0.785288 0.921172 0.000562 0.721747 0.001092 -0.602404 -0.007660 2.472590 -0.001895 5.191690
0.803579 0.757902 0.000589 0.036012 0.000362 -0.648343 -0.013467 8.385120 0.024129 -7.880690
0.822297 1.028376 0.000798 0.595832 0.000263 0.556278 -0.000473 6.966790 0.017040 -2.609060
0.841451 1.221359 0.001164 -0.827696 -0.000903 0.155979 -0.000829 3.292740 0.001437 2.988410
0.861051 1.097087 0.000937 0.216222 -0.000269 0.833848 0.001498 6.838930 0.005561 9.235950
0.881107 0.960998 0.000910 -0.026844 0.000197 -0.182710 -0.004759 1.615580 0.013512 -6.923190
0.901631 1.209419 0.001038 0.152641 0.000430 -0.439367 -0.009659 3.066160 -0.008552 11.441900
0.922633 1.191079 0.001104 -0.317390 0.000132 -0.464471 -0.012033 3.851930 0.007395 2.484740
0.944123 1.038538 0.001033 -0.215279 -0.000442 0.406596 0.010157 -3.671030 -0.005604 -0.834750
0.966115 0.825831 0.000784 0.020868 -0.000321 0.573277 0.010776 -2.254120 0.003892 -6.163130
0.988619 1.202416 0.001243 -0.277597 -0.000151 -0.131822 0.006430 -8.041110 -0.024362 2.096480
1.011650 1.178106 0.001273 -0.394128 -0.000673 0.049207 0.006349 -3.801940 -0.014310 3.317240
1.035210 0.956770 0.001038 -0.198289 -0.000297 0.146869 0.002622 1.395140 0.010930 -6.886820
1.059320 1.158484 0.001266 0.036537 0.000388 -0.452297 -0.008418 0.959957 0.009657 -3.286630
1.084000 0.806438 0.000819 0.265116 0.000524 -0.189699 -0.000708 -0.702112 -0.004924 2.350470
1.109250 1.242022 0.001433 -0.067438 0.000277 -0.402892 -0.007657 1.884770 0.005893 -4.498660
1.135090 0.798335 0.000922 -0.120801 0.000139 -0.311815 -0.004527 -0.560918 -0.000684 -0.375910
